Date	Treatment	mean_GPP	mean_R	mean_NEP
2023-06-23	Fish	0.859326919388369	-0.583436108009942	0.275890811378426
2023-06-23	no Fish	0.313910193614097	-0.06001992327469	0.253890270339407
2023-06-24	Fish	1.11160795205985	-0.866732418471186	0.244875533588665
2023-06-24	no Fish	0.199124064581665	-0.0062793415674396	0.192844723014225
2023-06-25	Fish	0.805803747164058	-0.497676538367537	0.308127208796519
2023-06-25	no Fish	0.336306654630628	-0.197836144527976	0.138470510102653
2023-06-26	Fish	0.886448235375377	-0.79888227566015	0.0875659597152269
2023-06-26	no Fish	0.0607062006978294	0.265370140637316	0.326076341335147
2023-06-27	Fish	0.700167527009256	-0.468673256984355	0.231494270024901
2023-06-27	no Fish	0.212913961567487	0.220683819980798	0.433597781548286
2023-06-28	Fish	0.712660509033714	-0.320552146734587	0.392108362299127
2023-06-28	no Fish	0.225283603153436	0.166426986490466	0.3917105896439
2023-06-29	Fish	0.630404807215554	-0.33210750961563	0.298297297599924
2023-06-29	no Fish	0.295209776811848	0.127517277179701	0.422727053991548
2023-06-30	Fish	1.17397923426213	-0.639256022724435	0.534723211537697
2023-06-30	no Fish	0.124818568671351	0.48790445699072	0.612723025662073
2023-07-01	Fish	0.679158778053771	-0.254356778627882	0.424801999425889
2023-07-01	no Fish	0.118869363019306	0.286856425451206	0.405725788470511
2023-07-02	Fish	0.64555138386917	-0.301473126400895	0.344078257468274
2023-07-02	no Fish	0.397093524186169	0.15923415579341	0.556327679979579
2023-07-03	Fish	0.797958207819436	-0.583899919193011	0.214058288626425
2023-07-03	no Fish	0.333255888473922	0.0292332874983569	0.362489175972278
2023-07-04	Fish	0.888766327956933	-0.430634305339935	0.458132022616997
2023-07-04	no Fish	0.387741321188617	-0.0206689375196648	0.367072383668953
2023-07-05	Fish	0.894763637512435	-0.255319100417367	0.639444537095069
2023-07-05	no Fish	-0.33915290182029	1.06526680061685	0.72611389879656
2023-07-06	Fish	0.763460459435291	-0.056486815418924	0.706973644016368
2023-07-06	no Fish	0.235555718588734	0.436392368820157	0.671948087408892
2023-07-07	Fish	1.0227213575442	-0.480747054784813	0.541974302759391
2023-07-07	no Fish	-0.0152462083792468	0.679975985352775	0.664729776973528
2023-07-08	Fish	0.744299148617452	0.176998965211237	0.921298113828689
2023-07-08	no Fish	0.608750355133356	0.205568371805673	0.814318726939029
2023-07-09	Fish	0.662988613096263	0.250624385327804	0.913612998424065
2023-07-09	no Fish	0.195258083278981	0.700863424778479	0.896121508057459
2023-07-10	Fish	0.830642310068741	0.381378184471795	1.21202049454054
2023-07-10	no Fish	0.269249952189185	1.05057118388896	1.31982113607814
2023-07-11	Fish	1.20102833996141	-0.170404006201604	1.0306243337598
2023-07-11	no Fish	-0.224731861390658	1.33974933387776	1.11501747248711
2023-07-12	Fish	1.42525357462378	-0.394439755413059	1.03081381921072
2023-07-12	no Fish	0.0556057258114558	0.950868298208971	1.00647402402043
2023-07-13	Fish	1.09256141713647	-1.08545874529116	0.0071026718453018
2023-07-13	no Fish	0.214526211818243	0.454025700380504	0.668551912198747
2023-07-14	Fish	1.34814573565748	-0.945361255610926	0.402784480046557
2023-07-14	no Fish	0.393806322314782	0.0734357224802657	0.467242044795047
2023-07-15	Fish	1.11223542822073	-0.594080483725723	0.518154944495005
2023-07-15	no Fish	0.459151220728086	0.139175179055339	0.598326399783426
2023-07-16	Fish	1.20643096045024	-1.01820696793623	0.188223992514012
2023-07-16	no Fish	0.55319271325385	-0.235788595442117	0.317404117811735
