Date	GPP	R	NEP	GPPsd	Rsd	NEPsd
2023-06-23	0.782277913216518	-0.531546709487477	0.250731203729041	0.0133814809800749	0.0128265597945869	0.0185360370463651
2023-06-24	1.0566517475393	-0.807288376269838	0.249363371269459	0.025338680429315	0.0248642176480012	0.0355003949998606
2023-06-25	1.32293587209939	-1.49032402521118	-0.167388153111797	0.0414448336512237	0.0414643528171979	0.0586256495991871
2023-06-26	0.916027059308483	-0.657250981117712	0.258776078190771	0.0189606223846419	0.018898629488181	0.0267705696193512
2023-06-27	0.570826075141287	-0.346249909074691	0.224576166066596	0.0133551237641445	0.0129739887662187	0.0186194445476117
2023-06-28	0.935972527923841	-0.494336621785465	0.441635906138376	0.0198206213619802	0.0191818517724984	0.0275826117073255
2023-06-29	0.665919336581494	-0.587297254870017	0.0786220817114767	0.0214096797055138	0.0205203658479774	0.0296556874752133
2023-06-30	1.10152569155045	-0.814171526946464	0.287354164603989	0.0274629781143151	0.0272000242795643	0.038653026889446
2023-07-01	0.604210414598294	-0.348137335262837	0.256073079335457	0.0183822696191066	0.0175381699162383	0.0254065983626375
2023-07-02	0.60335108160973	-0.357028476881284	0.246322604728446	0.0145965603312714	0.0140945767418338	0.0202908025232095
2023-07-03	0.748982804117012	-0.587320460615477	0.161662343501535	0.0129016225452537	0.0122447331504112	0.0177872244665933
2023-07-04	0.731978538792312	-0.604441146447333	0.127537392344979	0.016163413298624	0.0161511231107118	0.0228498294785651
2023-07-05	0.854629671794846	-0.58509787795815	0.269531793836697	0.0397389610394959	0.0393551154495022	0.0559286164368673
2023-07-06	0.893902114697824	-0.601150379549616	0.292751735148208	0.0416540082523779	0.041334261271106	0.0586820037005999
2023-07-07	1.08478773266825	-0.911727501882392	0.173060230785859	0.0333895020335521	0.0335073322810374	0.0473032785612206
2023-07-08	0.753805120469222	-0.221734384604185	0.532070735865037	0.0275596236958658	0.0272875103447623	0.0387832577160975
2023-07-09	0.872055884897555	-0.346948300985811	0.525107583911744	0.0416028278518052	0.0412222512577712	0.0585667933561823
2023-07-10	1.24250958571038	-0.685128873819636	0.557380711890747	0.0608793083136102	0.0603600220224793	0.0857299389904005
2023-07-11	1.5051929998088	-1.55589161099323	-0.0506986111844245	0.0514908235193169	0.0499442155538483	0.0717337408336321
2023-07-12	1.12077572476653	-0.596000998244203	0.524774726522327	0.0264892360953844	0.0249579527288161	0.0363947665651372
2023-07-13	1.13837218672882	-0.629215374178409	0.509156812550408	0.0140166849937953	0.0128772383564058	0.0190339361642035
2023-07-14	0.982603433896002	-0.47167963812488	0.510923795771122	0.0146627771195025	0.0136827524405847	0.0200552922493424
2023-07-15	1.2493253692707	-0.825153482273293	0.424171886997405	0.0167162547538277	0.0154392066916175	0.0227552691977343
2023-07-16	1.3706227204871	-1.16385985072546	0.206762869761638	0.0129120053608194	0.01261727183502	0.0180531280114173
