Pond	Sonde	Treatment	Time_seq	Date_time	Chlorophyll_RFU	Cond_uScm	BGAPC_RFU	ODO_mgL	pH	fDOM_RFU	SpCond_uScm	Temp_C
B1P1	Sonde16	S	0	2022-06-23T20:01:00Z	0.61	39.7	-1.45	10.49	7.2	3.25	50.3	14.015
B1P1	Sonde16	S	0.0013889	2022-06-23T20:03:00Z	0.04	39.7	-1.56	10.51	7.2	3.23	50.3	13.996
B1P1	Sonde16	S	0.0027778	2022-06-23T20:05:00Z	0.13	39.7	-1.49	10.5	7.2	3.21	50.3	13.982
B1P1	Sonde16	S	0.0041667	2022-06-23T20:07:00Z	0.1	39.7	-1.3	10.48	7.2	3.2	50.3	13.979
B1P1	Sonde16	S	0.0055556	2022-06-23T20:09:00Z	-0.01	39.8	-1.39	10.47	7.19	3.22		13.982
B1P1	Sonde16	S	0.0069444	2022-06-23T20:11:00Z	0.18	39.8	-1.54	10.44	7.18	3.21		13.985
B1P1	Sonde16	S	0.0083333	2022-06-23T20:13:00Z	-0.06	39.7	-1.56	10.43	7.18	3.21	50.3	13.961
B1P1	Sonde16	S	0.0097222	2022-06-23T20:15:00Z	-0.11	39.7	-1.29	10.43	7.18	3.19	50.3	13.979
B1P1	Sonde16	S	0.0111111	2022-06-23T20:17:00Z	0.32	39.8	-1.41	10.44	7.18	3.21	50.3	13.999
B1P1	Sonde16	S	0.0125	2022-06-23T20:19:00Z	-0.11	39.7	-1.53	10.44	7.18	3.21		14.021
B1P1	Sonde16	S	0.0138889	2022-06-23T20:21:00Z	-0.17	39.7	-1.44	10.43	7.18	3.19	50.3	14.011
B1P1	Sonde16	S	0.0152778	2022-06-23T20:23:00Z	0.07	39.8	-1.56	10.42	7.17	3.19	50.3	14.012
B1P1	Sonde16	S	0.0166667	2022-06-23T20:25:00Z	0.03	39.7	-1.39	10.42	7.17	3.19	50.3	14.001
B1P1	Sonde16	S	0.0180556	2022-06-23T20:27:00Z	0.1	39.7	-1.5	10.42	7.17	3.18	50.3	14.003
B1P1	Sonde16	S	0.0194444	2022-06-23T20:29:00Z	-0.01	39.7	-1.57	10.42	7.17	3.18	50.3	13.996
B1P1	Sonde16	S	0.0208333	2022-06-23T20:31:00Z	0	39.7	-1.51	10.42	7.17	3.2	50.3	13.989
B1P1	Sonde16	S	0.0222222	2022-06-23T20:33:00Z	0.01	39.7	-1.48	10.41	7.17	3.17		13.99
B1P1	Sonde16	S	0.0236111	2022-06-23T20:35:00Z	0.02	39.7	-1.44	10.41	7.17	3.19	50.3	13.98
B1P1	Sonde16	S	0.025	2022-06-23T20:37:00Z	-0.06		-1.49	10.41	7.17	3.2		13.995
B1P1	Sonde16	S	0.0263889	2022-06-23T20:39:00Z	-0.15	39.7	-1.66	10.42	7.17	3.19	50.3	14
B1P1	Sonde16	S	0.0277778	2022-06-23T20:41:00Z	0.15	39.7	-1.4	10.43	7.17	3.2		13.987
B1P1	Sonde16	S	0.0291667	2022-06-23T20:43:00Z	-0.14	39.7	-1.49	10.43	7.17	3.2		14.006
B1P1	Sonde16	S	0.0305556	2022-06-23T20:45:00Z	0.01	39.7	-1.57	10.44	7.18	3.19		14.012
B1P1	Sonde16	S	0.0319444	2022-06-23T20:47:00Z	-0.05	39.7	-1.45	10.44	7.18	3.19	50.3	14.014
B1P1	Sonde16	S	0.0333333	2022-06-23T20:49:00Z	0.09	39.7	-1.51	10.45	7.18	3.19	50.3	14.023
B1P1	Sonde16	S	0.0347222	2022-06-23T20:51:00Z	-0.19	39.7	-1.55	10.45	7.18	3.19	50.3	14.019
B1P1	Sonde16	S	0.0361111	2022-06-23T20:53:00Z	0.15	39.7	-1.33	10.45	7.18	3.22	50.3	14.017
B1P1	Sonde16	S	0.0375	2022-06-23T20:55:00Z	-0.02	39.7	-1.44	10.45	7.18	3.21		14.027
B1P1	Sonde16	S	0.0388889	2022-06-23T20:57:00Z	0.13	39.7	-1.34	10.46	7.18	3.19		14.032
B1P1	Sonde16	S	0.0402778	2022-06-23T20:59:00Z	-0.12	39.7	-1.39	10.45	7.18	3.21	50.3	14.029
B1P1	Sonde16	S	0.0416667	2022-06-23T21:01:00Z	0.03	39.7	-1.52	10.45	7.18	3.21		14.036
B1P1	Sonde16	S	0.0430556	2022-06-23T21:03:00Z	0.22	39.7	-1.3	10.45	7.18	3.18	50.3	14.04
B1P1	Sonde16	S	0.0444444	2022-06-23T21:05:00Z	0.06		-1.49	10.44	7.18	3.18	50.3	14.039
B1P1	Sonde16	S	0.0458333	2022-06-23T21:07:00Z	-0.05		-1.48	10.45	7.18	3.18	50.3	14.046
B1P1	Sonde16	S	0.0472222	2022-06-23T21:09:00Z	-0.15	39.7	-1.57	10.44	7.18	3.17	50.3	14.047
B1P1	Sonde16	S	0.0486111	2022-06-23T21:11:00Z	-0.08	39.7	-1.59	10.45	7.18	3.17		14.059
B1P1	Sonde16	S	0.05	2022-06-23T21:13:00Z	-0.14		-1.54	10.46	7.18	3.19	50.3	14.072
B1P1	Sonde16	S	0.0513889	2022-06-23T21:15:00Z	0.2		-1.38	10.46	7.18	3.18	50.3	14.085
B1P1	Sonde16	S	0.0527778	2022-06-23T21:17:00Z	0.21		-1.35	10.45	7.18	3.19	50.3	14.075
B1P1	Sonde16	S	0.0541667	2022-06-23T21:19:00Z	-0.11		-1.5	10.45	7.18	3.18	50.3	14.062
B1P1	Sonde16	S	0.0555556	2022-06-23T21:21:00Z	-0.1		-1.62	10.45	7.18	3.19	50.3	14.065
B1P1	Sonde16	S	0.0569444	2022-06-23T21:23:00Z	-0.1	39.7	-1.44	10.44	7.18	3.19		14.054
B1P1	Sonde16	S	0.0583333	2022-06-23T21:25:00Z	-0.21	39.7	-1.57	10.44	7.18	3.2		14.057
B1P1	Sonde16	S	0.0597222	2022-06-23T21:27:00Z	0.12	39.7	-1.53	10.46	7.18	3.21	50.3	14.057
B1P1	Sonde16	S	0.0611111	2022-06-23T21:29:00Z	0.03		-1.6	10.48	7.19	3.2	50.3	14.061
B1P1	Sonde16	S	0.0625	2022-06-23T21:31:00Z	0.06		-1.48	10.47	7.19	3.2	50.3	14.066
B1P1	Sonde16	S	0.0638889	2022-06-23T21:33:00Z	-0.14		-1.59	10.46	7.19	3.2	50.3	14.06
B1P1	Sonde16	S	0.0652778	2022-06-23T21:35:00Z	0.05		-1.28	10.46	7.18	3.2	50.3	14.072
B1P1	Sonde16	S	0.0666667	2022-06-23T21:37:00Z	-0.02		-1.33	10.44	7.18	3.19		14.085
B1P1	Sonde16	S	0.0680556	2022-06-23T21:39:00Z	0.02		-1.51	10.44	7.18	3.19	50.3	14.052
B1P1	Sonde16	S	0.0694444	2022-06-23T21:41:00Z	0.11		-1.42	10.43	7.18	3.21	50.3	14.053
B1P1	Sonde16	S	0.0708333	2022-06-23T21:43:00Z	0.52		-1.38	10.44	7.17	3.2	50.3	14.031
B1P1	Sonde16	S	0.0722222	2022-06-23T21:45:00Z	-0.09		-1.5	10.44	7.18	3.2	50.3	14.015
B1P1	Sonde16	S	0.0736111	2022-06-23T21:47:00Z	0.01	39.7	-1.38	10.43	7.17	3.19		14.059
B1P1	Sonde16	S	0.075	2022-06-23T21:49:00Z	0.17		-1.53	10.43	7.17	3.22	50.3	14.049
B1P1	Sonde16	S	0.0763889	2022-06-23T21:51:00Z	0.14		-1.47	10.45	7.17	3.2	50.3	14.008
B1P1	Sonde16	S	0.0777778	2022-06-23T21:53:00Z	0.11	39.7	-1.42	10.44	7.17	3.21	50.3	14.036
B1P1	Sonde16	S	0.0791667	2022-06-23T21:55:00Z	-0.15		-1.54	10.45	7.18	3.2	50.3	14.045
B1P1	Sonde16	S	0.0805556	2022-06-23T21:57:00Z	-0.11		-1.52	10.45	7.18	3.22	50.3	14.014
B1P1	Sonde16	S	0.0819444	2022-06-23T21:59:00Z	0.08	39.7	-1.44	10.44	7.18	3.24	50.3	14.007
B1P1	Sonde16	S	0.0833333	2022-06-23T22:01:00Z	-0.1	39.7	-1.55	10.43	7.17	3.22	50.3	13.984
