KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERL87 Sept 18 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;9/18/2021 2:50:27 PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.15;0.05;0.85;-0.46;13.6;0.180;4.81;1.60;21.2;94.5;94.5;11.63;0.256;0.01;20.9;-0.15;-0.15;5.21;14.59;14;14.92;0;NA;-26.6;6.462;0.200;4.47;1.0
;;;STANDARD DEVIATION:;0.10;0.02;0.31;0.06;18.3;0.428;3.42;1.14;28.6;0.4;0.4;0.10;0.609;0.01;28.1;0.50;0.50;0.40;1.11;18;10.11;0;0.42;24.9;0.426;0.425;0.20;3.3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
9/18/2021;11:48:43;0.0;;-0.32;0.05;0.31;-0.49;40.2;0.112;7.84;2.61;62.7;94.6;94.6;11.56;0.159;0.03;61.7;-0.60;-0.60;4.89;13.71;40;0.85;0;7.60;-60.8;6.764;0.507;4.42;0.0
9/18/2021;11:48:45;0.0;;-0.33;0.05;0.27;-0.48;40.5;0.140;8.50;2.83;63.2;94.6;94.6;11.55;0.200;0.03;62.2;-0.74;-0.74;4.82;13.50;40;0.86;0;7.60;-60.7;6.762;0.513;4.43;0.0
9/18/2021;11:48:47;0.0;;-0.34;0.05;0.23;-0.47;40.5;0.171;9.18;3.06;63.2;94.5;94.5;11.55;0.244;0.03;62.2;-0.85;-0.85;4.76;13.34;40;0.86;0;7.60;-60.7;6.757;0.502;4.43;0.0
9/18/2021;11:48:49;0.0;;-0.34;0.04;0.23;-0.52;40.5;0.200;9.61;3.20;63.2;94.5;94.5;11.54;0.284;0.03;62.2;-0.88;-0.88;4.71;13.18;40;0.86;0;7.59;-60.6;6.754;0.520;4.43;0.0
9/18/2021;11:48:51;0.0;;-0.32;0.03;0.29;-0.53;40.5;0.231;9.62;3.21;63.2;94.5;94.5;11.54;0.329;0.03;62.1;-0.88;-0.88;4.69;13.13;40;0.87;0;7.59;-60.6;6.751;0.498;4.43;0.0
9/18/2021;11:48:53;0.0;;-0.34;0.04;0.25;-0.51;40.5;0.257;9.63;3.21;63.2;94.4;94.4;11.53;0.365;0.03;62.1;-0.89;-0.89;4.67;13.06;40;0.87;0;7.59;-60.5;6.749;0.438;4.43;0.0
9/18/2021;11:48:55;0.0;;-0.33;0.04;0.27;-0.51;40.5;0.283;9.62;3.21;63.2;94.4;94.4;11.53;0.402;0.03;62.1;-0.87;-0.87;4.66;13.04;40;0.87;0;7.59;-60.5;6.747;0.412;4.43;0.0
9/18/2021;11:48:57;0.0;;-0.34;0.03;0.25;-0.53;40.5;0.305;9.63;3.21;63.2;94.4;94.4;11.53;0.434;0.03;62.1;-0.84;-0.84;4.66;13.04;40;0.87;0;7.59;-60.3;6.745;0.391;4.43;0.0
9/18/2021;11:48:59;0.0;;-0.32;0.03;0.30;-0.52;40.5;0.329;9.63;3.21;63.2;94.4;94.4;11.53;0.468;0.03;62.1;-0.84;-0.84;4.66;13.04;40;0.86;0;7.59;-60.2;6.745;0.445;4.43;0.0
9/18/2021;11:49:01;0.0;;-0.31;0.04;0.35;-0.50;40.5;0.357;9.63;3.21;63.2;94.4;94.4;11.54;0.508;0.03;62.1;-0.83;-0.83;4.66;13.05;40;0.84;0;7.59;-60.1;6.744;0.452;4.43;0.0
