KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;09/10/2021 22:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.04;0.15;1.19;-0.13;36.9;0.167;2.45;0.82;50.4;96.4;96.4;10.52;0.238;0.02;49.5;0.02;0.02;5.69;15.94;32;16.94;0;NA;-13.8;11.470;0.167;4.75;0.0
;;;STANDARD DEVIATION:;0.21;0.14;0.66;0.46;71.5;0.284;0.67;0.22;97.6;0.9;0.9;0.09;0.404;0.05;95.9;0.21;0.21;0.17;0.49;62;4.46;0;0.30;18.1;0.241;0.284;0.07;0.7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
09/10/2021;15:23:21;0.0;VW-See;-0.10;0.14;1.01;-0.17;158.0;0.117;2.37;0.79;219.4;92.7;92.7;10.21;0.166;0.10;215.6;0.05;0.05;5.77;16.15;140;14.19;0;6.35;13.4;11.014;0.116;4.92;0.0
09/10/2021;15:23:22;0.0;VW-See;-0.10;0.14;1.01;-0.17;158.0;0.117;2.37;0.79;219.4;92.7;92.7;10.21;0.166;0.10;215.6;0.05;0.05;5.77;16.15;140;14.19;0;6.35;13.4;11.014;0.116;4.92;0.0
09/10/2021;15:23:23;0.0;VW-See;-0.10;0.14;0.98;-0.19;158.3;0.116;2.65;0.88;219.6;92.6;92.6;10.20;0.165;0.10;215.8;0.00;0.00;5.68;15.91;140;14.30;0;6.35;13.6;11.031;0.116;4.91;0.0
09/10/2021;15:23:24;0.0;VW-See;-0.12;0.25;0.92;0.17;158.3;0.116;2.32;0.77;219.5;92.6;92.6;10.20;0.165;0.10;215.7;-0.05;-0.05;5.24;14.66;140;14.02;0;6.35;13.6;11.060;0.116;4.91;0.0
09/10/2021;15:23:25;0.0;VW-See;-0.11;0.15;0.96;-0.16;158.3;0.117;2.38;0.79;219.4;92.6;92.6;10.19;0.166;0.10;215.6;-0.05;-0.05;5.54;15.51;140;13.89;0;6.35;13.5;11.071;0.117;4.91;0.0
