year	doy	GPP	R	NEP
2022	174	0.433890110306882	-0.20174060610724	0.232149504199642
2022	175	0.527818496852374	-0.193464365282436	0.334354131569937
2022	176	0.807721072870209	-0.689356403739773	0.118364669130437
2022	177	0.992503567640212	-0.630521175719014	0.361982391921198
2022	178	1.45626587631761	-1.80928100771524	-0.353015131397625
2022	179	0.268312656489957	-0.133010070218022	0.135302586271935
2022	180	0.85133268119379	-0.389212347479828	0.462120333713962
2022	181	0.642553058132478	-0.335359234981355	0.307193823151123
2022	182	0.482274515432648	-0.253035094292865	0.229239421139782
2022	183	0.516979864282805	-0.350032364514137	0.166947499768668
