year	doy	GPP	R	NEP
2022	174	0.811222674113613	-0.707468452986173	0.103754221127439
2022	175	0.469334059670927	-0.137252113392958	0.332081946277969
2022	176	1.02608943789022	-1.06299514696672	-0.0369057090764993
2022	177	1.03323692464543	-0.798182591576452	0.235054333068981
2022	178	0.430873531468135	-0.221487314574051	0.209386216894084
2022	179	0.334788452591696	-0.270985464258541	0.0638029883331545
2022	180	0.735078978021946	-0.402894459275344	0.332184518746602
2022	181	0.431989115361517	-0.0431326136039383	0.388856501757579
2022	182	0.326692137998328	-0.164843683225399	0.161848454772929
2022	183	0.254453439805425	0.107476372685049	0.361929812490475
