Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/21/2024 9:23:16 PM;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.05;7.09;4.4;-0.336;7.67;1.63;6.1;97.1;98.4;11.35;-0.478;0;6;1.16;1.16;4;0.41;0;NA;14.6;8.576;-0.316;5.26;0
;;;STANDARD DEVIATION:;0.08;0.23;10.6;0.269;1.49;0.5;14.5;0.9;0.9;0.34;0.383;0.01;14.3;0.88;0.88;9;4.2;0;0.42;23.6;1.153;0.358;0.1;0.7
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15D102812;15J102013;23G101106;23G101106;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/21/2024;13:36:55;0;greeenland;-0.02;7.16;-0.1;-0.381;6.94;1.39;-0.1;94.9;96.2;11.07;-0.542;0;-0.1;1.53;1.53;0;0.87;0;3.89;160.5;8.625;-0.377;5.05;0
6/21/2024;13:36:57;0;greeenland;-0.01;7.2;-0.1;-0.382;6.95;1.39;-0.1;94.9;96.2;11.07;-0.543;0;-0.1;1.53;1.53;0;0.86;0;4.16;145.5;8.63;-0.383;5.05;0
6/21/2024;13:36:59;0;greeenland;-0.02;7.18;-0.1;-0.38;6.95;1.39;-0.1;95;96.2;11.08;-0.541;0;-0.1;1.54;1.54;0;0.86;0;4.2;143.3;8.636;-0.376;5.05;0
