Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;07/05/2024 23:32;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.58;5.74;2.1;0.429;1.15;0.83;3;98.9;100.2;11.33;0.61;0;2.9;0.58;0.19;2;1.29;0;NA;15.5;9.403;0.437;5.44;0
;;;STANDARD DEVIATION:;0.25;0.79;5.3;0.524;0.4;0.13;7.4;0.7;0.7;0.2;0.745;0;7.3;0.31;0.31;5;1.95;0;0.86;48;0.724;0.556;0.05;0.7
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102813;15D102813;16L102031;15C104792;15M102838;15M102838;16L102031;15M103221;15M103221;15M103221;15C104792;16L102031;16L102031;15D102813;15D102813;16L102031;23G101106;23G101106;16A102320;16A102320;16L102031;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
07/03/2024;13:44:32;0;greeenland;0.75;6.25;-0.1;0.34;1.12;0.82;-0.2;97.2;98.5;11.34;0.484;0;-0.2;0.88;0.49;0;1.53;0;5.19;78.9;8.597;0.345;5.59;0
07/03/2024;13:44:34;0;greeenland;0.74;6.23;-0.1;0.339;1.12;0.82;-0.1;97.1;98.4;11.34;0.482;0;-0.1;0.88;0.49;0;1.57;0;5.15;81.2;8.586;0.335;5.59;0
07/03/2024;13:44:36;0;greeenland;0.74;6.24;-0.1;0.34;1.1;0.81;-0.1;97.1;98.4;11.34;0.484;0;-0.1;0.88;0.49;0;1.62;0;5.15;81.6;8.568;0.345;5.59;0
