Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/20/2024 11:08:40 PM;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.1;6.91;3.8;-0.22;6.63;1.29;5.1;99.1;100.5;10.46;-0.313;0;5;0.66;0.66;3;0.04;0;NA;-104.4;12.985;-0.215;5.64;0
;;;STANDARD DEVIATION:;0.49;1.52;11;0.144;1.04;0.35;14.8;1.9;1.9;0.36;0.205;0.01;14.5;0.61;0.61;9;1.83;0;3.13;177.5;1.053;0.172;0.11;0.3
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15D102812;15J102013;23G101106;23G101106;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/20/2024;12:03:54;0;greeenland;-0.16;6.75;0;-0.232;6.48;1.23;0;98.5;99.8;9.67;-0.33;0;0;0.52;0.52;0;0.06;0;10.88;-235.3;16.268;-0.23;5.86;0
6/20/2024;12:03:55;0;greeenland;-0.15;6.78;0;-0.232;6.48;1.24;0;98.5;99.8;9.67;-0.329;0;0;0.52;0.52;0;0.05;0;10.88;-235.1;16.264;-0.228;5.86;0
6/20/2024;12:03:57;0;greeenland;-0.15;6.77;0;-0.232;6.46;1.23;0;98.5;99.8;9.67;-0.329;0;0;0.55;0.55;0;0.03;0;10.87;-234.5;16.253;-0.231;5.86;0
