Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;07/06/2024 00:23;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.44;5.31;1;0.253;0.33;0.55;1.4;100.2;101.5;10.44;0.36;0;1.3;0.47;0.08;1;1.37;0;NA;171.5;13.491;0.259;5.64;0
;;;STANDARD DEVIATION:;0.2;0.63;2;0.171;5.32;1.77;2.9;6.7;6.8;0.65;0.243;0;2.8;0.25;0.25;2;2.05;0;3.96;226.7;1.739;0.207;0.04;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102813;15D102813;16L102031;15C104792;15M102838;15M102838;16L102031;15M103221;15M103221;15M103221;15C104792;16L102031;16L102031;15D102813;15D102813;16L102031;23G101106;23G101106;16A102320;16A102320;16L102031;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
07/01/2024;14:25:46;0;greeenland;0.51;5.5;-0.1;0.234;0.94;0.76;-0.1;91.9;93.2;8.77;0.333;0;-0.1;0.47;0.08;0;1.26;0;16.89;-591.6;17.643;0.238;5.75;0
07/01/2024;14:25:48;0;greeenland;0.5;5.49;-0.1;0.234;0.94;0.76;-0.1;92;93.2;8.77;0.333;0;-0.1;0.47;0.08;0;1.26;0;16.91;-592.4;17.65;0.237;5.75;0
07/01/2024;14:25:50;0;greeenland;0.5;5.48;-0.1;0.235;0.96;0.76;-0.1;92;93.2;8.77;0.333;0;-0.1;0.47;0.09;0;1.26;0;16.93;-593.5;17.652;0.236;5.75;0
