Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/21/2024 9:36:32 PM;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.02;7.16;4.4;-0.302;7.77;1.67;6.2;97.1;98.4;11.04;-0.429;0;6.1;1.28;1.28;4;-0.27;0;NA;-20.6;9.704;-0.298;5.15;0
;;;STANDARD DEVIATION:;0.09;0.27;9;0.302;2.17;0.72;12.2;0.9;0.9;0.12;0.43;0.01;12;0.7;0.7;8;1.22;0;0.3;16.6;0.636;0.335;0.06;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15D102812;15J102013;23G101106;23G101106;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/21/2024;16:43:41;0;greeenland;-0.05;7.09;0.8;-0.379;6.96;1.39;1.2;96.5;97.8;10.98;-0.54;0;1.2;1.35;1.35;1;0.31;0;5.41;76.2;9.67;-0.376;5.29;0
6/21/2024;16:43:43;0;greeenland;-0.05;7.07;0.8;-0.38;6.97;1.4;1.2;96.5;97.8;10.98;-0.54;0;1.2;1.38;1.38;1;0.31;0;5.32;80.9;9.664;-0.379;5.3;0
6/21/2024;16:43:45;0;greeenland;-0.08;6.99;0.8;-0.38;6.96;1.4;1.2;96.6;97.8;10.99;-0.54;0;1.2;1.41;1.41;1;0.32;0;5.36;79;9.66;-0.38;5.3;0
