Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/22/2024 10:38:18 PM;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.6;9.07;5.2;-0.248;8.16;1.8;7.2;99.2;100.5;10.9;-0.353;0;7.1;1.76;1.76;5;-0.4;0;NA;17.9;11.173;-0.234;5.02;0
;;;STANDARD DEVIATION:;7.04;21.69;13.1;0.36;4.7;1.57;18.1;1.6;1.6;0.24;0.512;0.01;17.8;7.42;7.42;12;1.23;0;0.48;26.9;0.545;0.413;0.13;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15D102812;15J102013;23G101106;23G101106;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/22/2024;15:13:04;0;greeenland;-0.01;7.21;0.6;-0.313;6.81;1.35;0.8;109.6;111;12.21;-0.445;0;0.8;1.46;1.46;1;0.32;0;5.88;50.2;10.528;-0.315;4.97;0
6/22/2024;15:13:06;0;greeenland;-0.01;7.19;0.6;-0.312;6.82;1.35;0.8;109.5;111;12.21;-0.444;0;0.8;1.47;1.47;1;0.32;0;5.88;50.1;10.519;-0.309;4.97;0
6/22/2024;15:13:08;0;greeenland;-0.01;7.22;0.6;-0.314;6.83;1.35;0.8;109.5;111;12.21;-0.446;0;0.8;1.45;1.45;1;0.31;0;5.87;50.5;10.504;-0.317;4.97;0
