Date	GPP	R	NEP	Model
2022-06-23	0.811222674113613	-0.707468452986173	0.103754221127439	OLS
2022-06-24	0.469334059670927	-0.137252113392958	0.332081946277969	OLS
2022-06-25	1.02608943789022	-1.06299514696672	-0.0369057090764993	OLS
2022-06-26	1.03323692464543	-0.798182591576452	0.235054333068981	OLS
2022-06-27	0.430873531468135	-0.221487314574051	0.209386216894084	OLS
2022-06-28	0.334788452591696	-0.270985464258541	0.0638029883331545	OLS
2022-06-29	0.735078978021946	-0.402894459275344	0.332184518746602	OLS
2022-06-30	0.431989115361517	-0.0431326136039383	0.388856501757579	OLS
2022-07-01	0.326692137998328	-0.164843683225399	0.161848454772929	OLS
2022-07-02	0.254453439805425	0.107476372685049	0.361929812490475	OLS
2022-06-23	0.433890110306882	-0.20174060610724	0.232149504199642	MLE
2022-06-24	0.527818496852374	-0.193464365282436	0.334354131569937	MLE
2022-06-25	0.807721072870209	-0.689356403739773	0.118364669130437	MLE
2022-06-26	0.992503567640212	-0.630521175719014	0.361982391921198	MLE
2022-06-27	1.45626587631761	-1.80928100771524	-0.353015131397625	MLE
2022-06-28	0.268312656489957	-0.133010070218022	0.135302586271935	MLE
2022-06-29	0.85133268119379	-0.389212347479828	0.462120333713962	MLE
2022-06-30	0.642553058132478	-0.335359234981355	0.307193823151123	MLE
2022-07-01	0.482274515432648	-0.253035094292865	0.229239421139782	MLE
2022-07-02	0.516979864282805	-0.350032364514137	0.166947499768668	MLE
2022-06-23	0.829122348359565	-0.725326194790948	0.103796153568617	MLE + Kalman filter
2022-06-24	0.473083451394024	-0.147690773001766	0.325392678392258	MLE + Kalman filter
2022-06-25	0.873724055847703	-1.00095221247012	-0.127228156622413	MLE + Kalman filter
2022-06-26	1.02702779532788	-0.789094736228502	0.23793305909938	MLE + Kalman filter
2022-06-27	0.430538875820477	-0.220618764064038	0.209920111756439	MLE + Kalman filter
2022-06-28	0.32964375735162	-0.256763019413216	0.0728807379384042	MLE + Kalman filter
2022-06-29	0.746520059704967	-0.42594878707152	0.320571272633448	MLE + Kalman filter
2022-06-30	0.437105503465569	-0.054785867943849	0.38231963552172	MLE + Kalman filter
2022-07-01	0.575163738086234	-0.405785202577997	0.169378535508237	MLE + Kalman filter
2022-07-02	0.124996921811977	0.565262307158654	0.690259228970631	MLE + Kalman filter
2022-06-23	0.815839570414389	-0.71829047134013	0.0975490990742582	Bayesian
2022-06-24	0.487912194004916	-0.151423483781697	0.336488710223219	Bayesian
2022-06-25	1.0202030048754	-1.04494419582632	-0.0247411909509194	Bayesian
2022-06-26	1.04135324203034	-0.819680127936534	0.22167311409381	Bayesian
2022-06-27	0.425800335908843	-0.209364880884042	0.216435455024801	Bayesian
2022-06-28	0.339598627681053	-0.264485521996323	0.0751131056847296	Bayesian
2022-06-29	0.745247170574054	-0.411842847186627	0.333404323387427	Bayesian
2022-06-30	0.457413936735955	-0.0693184431924819	0.388095493543473	Bayesian
2022-07-01	0.37686312613658	-0.20938633669064	0.16747678944594	Bayesian
2022-07-02	0.229992006131442	0.142170341851241	0.372162347982683	Bayesian
