Date	Treatment	mean_GPP	mean_NEP	mean_R
2022-06-23	Fish	0.666159223417543	0.1479975081507	-0.518161715266842
2022-06-23	no Fish	0.302696186324742	0.590812494489761	0.28811630816502
2022-06-24	Fish	0.389745437077136	-0.033067526154033	-0.422812963231169
2022-06-24	no Fish	0.040739865869004	0.257198373377117	0.216458507508113
2022-06-25	Fish	0.784849924492531	-0.369796532566037	-1.15464645705857
2022-06-25	no Fish	0.545033405631911	0.10776546496383	-0.437267940668083
2022-06-26	Fish	0.829852543714247	0.0618948126447765	-0.767957731069469
2022-06-26	no Fish	0.71300686610968	0.142657746487606	-0.570349119622073
2022-06-27	Fish	0.483206917615885	0.045304420199917	-0.437902497415967
2022-06-27	no Fish	0.537880220487693	0.276923288904869	-0.260956931582826
2022-06-28	Fish	0.310143568966864	-0.292378912796577	-0.602522481763441
2022-06-28	no Fish	-0.187661182034791	0.263480595162233	0.451141777197026
2022-06-29	Fish	0.681914263360707	0.0652349623737146	-0.616679300986992
2022-06-29	no Fish	0.679281330646326	0.249066486064427	-0.430214844581897
2022-06-30	Fish	0.414935211095922	0.206675863526638	-0.208259347569284
2022-06-30	no Fish	0.333873123758579	0.5441765577521	0.210303433993519
2022-07-01	Fish	0.39930884182365	0.0289628554702038	-0.370345986353446
2022-07-01	no Fish	-0.095348730321892	0.519585644465773	0.614934374787668
2022-07-02	Fish	0.105592172629383	0.401428381594601	0.295836208965218
2022-07-02	no Fish	0.181202481878172	1.03247362228792	0.85127114040975
