year	doy	GPP	R	NEP
2022	174	0.829122348359565	-0.725326194790948	0.103796153568617
2022	175	0.473083451394024	-0.147690773001766	0.325392678392258
2022	176	0.873724055847703	-1.00095221247012	-0.127228156622413
2022	177	1.02702779532788	-0.789094736228502	0.23793305909938
2022	178	0.430538875820477	-0.220618764064038	0.209920111756439
2022	179	0.32964375735162	-0.256763019413216	0.0728807379384042
2022	180	0.746520059704967	-0.42594878707152	0.320571272633448
2022	181	0.437105503465569	-0.054785867943849	0.38231963552172
2022	182	0.575163738086234	-0.405785202577997	0.169378535508237
2022	183	0.124996921811977	0.565262307158654	0.690259228970631
