KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;09.12.2021 10:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.07;0.24;1.07;0.16;4.3;-0.013;2.19;0.73;6;94.4;94.4;10.74;-0.019;0;5.9;0.19;0.19;5.84;16.34;4;1622;0;NA;-14.7;9.683;-0.013;4.6;0
;;;STANDARD DEVIATION:;0.11;2.37;0.36;7.72;12.4;0.189;1;0.33;17.2;0.5;0.5;0.18;0.268;0.01;16.9;0.33;0.33;5.4;15.13;11;5244.35;0;0.33;19.5;0.72;0.189;0.08;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
09.11.2021;12:38:03;0;VW-See;-0.02;0.12;1.24;-0.24;0.7;-0.045;1.61;0.54;1;94.1;94.1;11.21;-0.064;0;1;0.55;0.55;5.59;15.64;1;52.17;0;6.4;10.5;7.748;-0.045;4.82;0
09.11.2021;12:38:04;0;VW-See;0.02;0.11;1.38;-0.27;0.7;-0.045;1.61;0.54;1.1;94.1;94.1;11.21;-0.064;0;1;0.66;0.66;5.6;15.68;1;52.19;0;6.4;10.5;7.749;-0.045;4.82;0
09.11.2021;12:38:05;0;VW-See;0.05;0.08;1.45;-0.36;0.7;-0.044;1.59;0.53;1.1;94.1;94.1;11.21;-0.063;0;1;0.82;0.82;5.68;15.89;1;52.23;0;6.4;10.5;7.75;-0.044;4.82;0
09.11.2021;12:38:06;0;VW-See;0.13;0.05;1.72;-0.46;0.7;-0.044;1.68;0.56;1.1;94.1;94.1;11.21;-0.063;0;1;0.85;0.85;5.8;16.25;1;52.15;0;6.4;10.5;7.751;-0.045;4.82;0
09.11.2021;12:38:07;0;VW-See;0.17;0.05;1.85;-0.47;0.7;-0.045;1.7;0.57;1.1;94.1;94.1;11.21;-0.063;0;1;0.8;0.8;5.79;16.2;1;52.13;0;6.4;10.5;7.753;-0.045;4.82;0
