Date_time	dsr_cor	wspd_ms
2021-09-21T22:00:00Z	0	2.5722
2021-09-21T23:00:00Z	0	2.7205
2021-09-22T00:00:00Z	0	2.5665
2021-09-22T01:00:00Z	0	2.1833
2021-09-22T02:00:00Z	0	1.9143
2021-09-22T03:00:00Z	0	1.8863
2021-09-22T04:00:00Z	0	2.7187
2021-09-22T05:00:00Z	0	1.3405
2021-09-22T06:00:00Z	0	1.031
2021-09-22T07:00:00Z	0	1.692
2021-09-22T08:00:00Z	0.494	1.517
2021-09-22T09:00:00Z	17.8237	0.97
2021-09-22T10:00:00Z	50.8703	1.006
2021-09-22T11:00:00Z	113.4191	0.802
2021-09-22T12:00:00Z	160.4621	0.3668
2021-09-22T13:00:00Z	131.8161	1.5463
2021-09-22T14:00:00Z	161.8529	1.1118
2021-09-22T15:00:00Z	131.8109	2.5537
2021-09-22T16:00:00Z	95.7969	2.734
2021-09-22T17:00:00Z	77.5865	2.292
2021-09-22T18:00:00Z	34.0673	2.6263
2021-09-22T19:00:00Z	16.44	3.8875
2021-09-22T20:00:00Z	2.6986	4.6162
2021-09-22T21:00:00Z	0.196	4.0318
2021-09-22T22:00:00Z	0	3.3567
2021-09-22T23:00:00Z	0	2.5577
2021-09-23T00:00:00Z	0	1.6105
2021-09-23T01:00:00Z	0	3.4197
2021-09-23T02:00:00Z	0	5.6412
2021-09-23T03:00:00Z	0	5.7087
2021-09-23T04:00:00Z	0	4.5342
2021-09-23T05:00:00Z	0	5.8068
2021-09-23T06:00:00Z	0	5.2548
2021-09-23T07:00:00Z	0	5.2675
2021-09-23T08:00:00Z	0	6.4135
2021-09-23T09:00:00Z	103.9898	4.9637
2021-09-23T10:00:00Z	166.1718	7.0057
2021-09-23T11:00:00Z	199.5085	5.722
2021-09-23T12:00:00Z	212.9958	7.1802
2021-09-23T13:00:00Z	235.0324	7.2722
2021-09-23T14:00:00Z	238.3553	7.572
2021-09-23T15:00:00Z	571.0651	8.483
2021-09-23T16:00:00Z	522.7835	8.4185
2021-09-23T17:00:00Z	441.4002	7.394
2021-09-23T18:00:00Z	346.5815	6.2498
2021-09-23T19:00:00Z	240.964	5.1507
2021-09-23T20:00:00Z	93.2491	5.2995
2021-09-23T21:00:00Z	2.2646	6.1135
2021-09-23T22:00:00Z	0	7.5243
2021-09-23T23:00:00Z	0	3.6873
2021-09-24T00:00:00Z	0	1.2262
