Date	GPP	R	NEP	GPPsd	Rsd	NEPsd
2023-06-23	0.18143827112611	-0.366588621857342	-0.185150350731232	0.00938374008620239	0.0094137763548114	0.0132918683135144
2023-06-24	0.0753788565930764	-0.20276965910272	-0.127390802509644	0.0109167851918495	0.0108683693425876	0.0154044685429872
2023-06-25	0.184509130170547	-0.402436394582776	-0.217927264412229	0.0145807957321972	0.0146119305494459	0.0206423864552016
2023-06-26	0.144155217607652	-0.196677686093074	-0.0525224684854221	0.0106125859520394	0.0107678818667891	0.0151186725768683
2023-06-27	0.0677775415888826	-0.157771711999007	-0.089994170410124	0.00904135969002252	0.00853749612710533	0.0124352332171416
2023-06-28	0.330049007532414	-0.412936322491256	-0.0828873149588418	0.00908354125063468	0.0089813673763935	0.0127740237044452
2023-06-29	0.24797522462553	-0.334781840012271	-0.0868066153867415	0.00982865437645333	0.0095028962658157	0.0136714112033334
2023-06-30	0.285645344472501	-0.33939456604753	-0.0537492215750288	0.0107595440763021	0.0100160377681048	0.0146999592279023
2023-07-01	0.289845378040041	-0.371521149928538	-0.0816757718884972	0.0102305188945055	0.0099208846805418	0.0142508761027329
2023-07-02	0.231881717732721	-0.191395327054	0.0404863906787204	0.00889965208121543	0.00882415663059046	0.0125327390225711
2023-07-03	0.27136494045409	-0.285214905590798	-0.0138499651367074	0.00883108400518968	0.00866406295183044	0.0123715007796143
2023-07-04	0.123254899119923	-0.132641539279212	-0.00938664015928939	0.0160262207207689	0.0158224603684714	0.0225208792613133
2023-07-05	0.228510811656833	-0.151213227185562	0.0772975844712716	0.0272937195724119	0.0280580676938014	0.0391433556406116
2023-07-06	0.422037343126621	-0.402058530533532	0.019978812593089	0.0334057372222307	0.0334505588557462	0.0472745509457517
2023-07-07	0.401436564005007	-0.38201971087408	0.0194168531309268	0.027891299503155	0.0281862437783206	0.0396533595840959
2023-07-08	0.337232782622007	-0.15529223572828	0.181940546893727	0.0375199984217425	0.0368025927757543	0.052556456469073
2023-07-09	0.438303971917325	-0.309765385298453	0.128538586618872	0.0291315339330704	0.0295389981997789	0.0414873316078556
2023-07-10	0.384587253182713	-0.16726064902249	0.217326604160223	0.0369381735432856	0.0377868939539068	0.0528420099863515
2023-07-11	0.453804260606449	-0.471015144010593	-0.0172108834041431	0.0329640397659649	0.0340481717328785	0.047390989819202
2023-07-12	0.228171681447765	-0.0705819631597315	0.157589718288033	0.0219132706630483	0.0221910806897625	0.0311871046000036
2023-07-13	0.330819695726798	-0.201124760224132	0.129694935502666	0.0117608198680267	0.0118847576490001	0.0167201778801434
2023-07-14	0.324416870143004	-0.298075091751487	0.0263417783915169	0.00910161159771396	0.00921242318467384	0.0129502152340862
2023-07-15	0.32172014802759	-0.295478740975855	0.0262414070517357	0.0108752826155137	0.0106134768629761	0.0151959752266257
2023-07-16	0.22605272020665	-0.381199740466504	-0.155147020259854	0.00996877091051953	0.00935696414779382	0.0136722043405414
