Date	Treatment	mean_GPP	mean_NEP	mean_R
2021-09-17	Fish	0.302608512004999	-0.0762560455389592	-0.378864557543958
2021-09-17	no Fish	0.241052891232487	-0.275854811239222	-0.516907702471709
2021-09-18	Fish	0.281793804115809	-0.0763707464149848	-0.358164550530794
2021-09-18	no Fish	0.143437774318226	-0.319193399311905	-0.462631173630131
2021-09-19	Fish	0.320813505572092	-0.229167915998029	-0.549981421570121
2021-09-19	no Fish	0.20731267066745	-0.450894984600248	-0.658207655267698
2021-09-20	Fish	0.376646002679832	-0.0236305706341239	-0.400276573313956
2021-09-20	no Fish	0.322775440890297	-0.299070723109445	-0.621846163999742
2021-09-21	Fish	0.250118808435776	-0.0541632251269811	-0.304282033562757
2021-09-21	no Fish	0.196585895954373	-0.312193541315798	-0.508779437270171
2021-09-22	Fish	0.180597106099613	-0.0819234090773325	-0.262520515176945
2021-09-22	no Fish	0.197384087822727	-0.322979921899063	-0.52036400972179
2021-09-23	Fish	0.307472027365817	-0.0863382726815476	-0.393810300047365
2021-09-23	no Fish	0.242242186214565	-0.48588256065207	-0.728124746866634
