KOR Export File

File Created:21.02.2017 19:16:04

Sonde ID	Sonde01
User ID	Moritz
Site	Deployment Site
Template	Sonde01
Time Zone	(UTC+02:00) Amman

Devices List:		
Name	SN	Firmware	Corresponding Data Column(s)
Data Collection Device			1;2;3;4;5
EXO2 Sonde	15D102264	1.0.12	6;7
Optical DO	15D102219	3.0.0	8;9
pH	15E101246	3.0.0	10;11
fDOM	15D102803	3.0.0	12;13
Total Algae BGA-PC	15D102570	3.0.0	14;15;16;17
Conductivity/Temp	15E101955	3.0.0	18;19;20;21;22;23
Wiper	15D102597	3.0.0	
Depth Non-Vented 0-100m	15C104794	3.0.0	24;25

1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
Date (MM/DD/YYYY)	Time (HH:MM:SS)	Time (Fract. Sec)	Site Name	Fault Code	Battery V	Cable Pwr V	ODO % sat	ODO mg/L	pH	pH mV	fDOM RFU	fDOM QSU	Chlorophyll RFU	Chlorophyll µg/L	BGA-PC RFU	BGA-PC µg/L	Temp °C	Cond µS/cm	SpCond µS/cm	Sal psu	nLF Cond µS/cm	TDS mg/L	Press psi a	Depth m	
01/27/2017	17:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	126.200000	16.590000	9.830000	-173.300000	-0.110000	-0.330000	2.320000	9.290000	-0.120000	-0.120000	3.847000	110.500000	185.500000	0.090000	187.900000	121.000000	0.780000	0.548000	
01/27/2017	17:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	126.000000	16.570000	9.820000	-173.100000	-0.090000	-0.280000	2.600000	10.400000	-0.100000	-0.100000	3.850000	122.700000	205.900000	0.100000	208.600000	134.000000	0.779000	0.548000	
01/27/2017	17:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.800000	16.550000	9.820000	-173.200000	-0.100000	-0.310000	2.280000	9.130000	-0.120000	-0.120000	3.859000	119.500000	200.500000	0.090000	203.100000	130.000000	0.778000	0.547000	
01/27/2017	18:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.900000	16.550000	9.830000	-173.500000	-0.120000	-0.350000	2.450000	9.810000	-0.140000	-0.140000	3.865000	118.000000	197.900000	0.090000	200.500000	129.000000	0.779000	0.547000	
01/27/2017	18:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.700000	16.530000	9.820000	-173.000000	-0.110000	-0.340000	2.230000	8.920000	-0.110000	-0.110000	3.865000	122.000000	204.500000	0.100000	207.200000	133.000000	0.780000	0.548000	
01/27/2017	18:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.300000	16.480000	9.820000	-172.900000	-0.120000	-0.350000	2.330000	9.320000	-0.130000	-0.130000	3.864000	117.400000	196.900000	0.090000	199.400000	128.000000	0.782000	0.550000	
01/27/2017	18:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.700000	16.520000	9.820000	-172.900000	-0.100000	-0.290000	2.250000	9.020000	-0.140000	-0.140000	3.862000	117.800000	197.500000	0.090000	200.100000	128.000000	0.782000	0.550000	
01/27/2017	19:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.200000	16.470000	9.830000	-173.300000	-0.100000	-0.290000	2.390000	9.570000	-0.130000	-0.130000	3.861000	118.600000	198.900000	0.090000	201.500000	129.000000	0.782000	0.550000	
01/27/2017	19:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.200000	16.470000	9.830000	-173.400000	-0.100000	-0.290000	2.440000	9.750000	-0.090000	-0.090000	3.860000	115.400000	193.600000	0.090000	196.000000	126.000000	0.784000	0.551000	
01/27/2017	19:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.400000	16.480000	9.830000	-173.400000	-0.140000	-0.410000	2.570000	10.270000	-0.140000	-0.140000	3.859000	111.500000	187.000000	0.090000	189.400000	122.000000	0.783000	0.551000	
