KOR Export File

File Created:26/06/2018 11:25:29

Sonde ID	Sonde20
User ID	Moritz
Site	Deployment Site
Template	Sonde20
Time Zone	(UTC+01:00) Brussels. Copenhagen. Madrid. Paris

Devices List:		
Name	SN	Firmware	Corresponding Data Column(s)
Data Collection Device			1;2;3;4;5
EXO2 Sonde	16M100125	1.0.18	6;7
Optical DO	16L103894	3.0.0	8;9
pH	16L104233	3.0.0	10;11
fDOM	16L101038	3.0.0	12;13
Total Algae BGA-PC	16L103551	3.0.0	14;15;16;17
Conductivity/Temp	16L102032	3.0.5	18;19;20;21;22;23
Wiper	16L103865	3.0.0	

1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
Date (MM/DD/YYYY)	Time (HH:MM:SS)	Time (Fract. Sec)	Site Name	Fault Code	Battery V	Cable Pwr V	ODO % sat	ODO mg/L	pH	pH mV	fDOM RFU	fDOM QSU	Chlorophyll RFU	Chlorophyll µg/L	BGA-PC RFU	BGA-PC µg/L	Temp °C	Cond µS/cm	SpCond µS/cm	Sal psu	nLF Cond µS/cm	TDS mg/L	
12/19/2017	16:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.450000	8.560000	-106.800000	0.250000	0.760000	0.670000	2.670000	-0.150000	-0.150000	4.829000	97.000000	157.900000	0.070000	160.100000	103.000000	
12/19/2017	16:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.460000	8.560000	-106.700000	0.260000	0.780000	0.980000	3.920000	-0.130000	-0.130000	4.825000	95.200000	154.900000	0.070000	157.100000	101.000000	
12/19/2017	17:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.450000	8.560000	-106.700000	0.250000	0.760000	0.930000	3.730000	-0.090000	-0.090000	4.823000	96.500000	157.000000	0.070000	159.200000	102.000000	
12/19/2017	17:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.460000	8.560000	-106.800000	0.270000	0.800000	1.050000	4.210000	-0.080000	-0.080000	4.820000	97.500000	158.600000	0.070000	160.900000	103.000000	
12/19/2017	17:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.200000	12.460000	8.560000	-106.600000	0.260000	0.780000	0.750000	2.990000	-0.100000	-0.100000	4.819000	97.700000	158.900000	0.080000	161.200000	103.000000	
12/19/2017	17:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.450000	8.560000	-106.500000	0.250000	0.750000	0.930000	3.710000	-0.080000	-0.080000	4.817000	98.400000	160.200000	0.080000	162.500000	104.000000	
12/19/2017	18:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.450000	8.560000	-106.900000	0.260000	0.790000	1.070000	4.290000	-0.070000	-0.070000	4.815000	97.100000	158.000000	0.070000	160.300000	103.000000	
12/19/2017	18:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.460000	8.540000	-105.900000	0.260000	0.770000	1.020000	4.090000	-0.080000	-0.080000	4.811000	97.100000	158.000000	0.070000	160.300000	103.000000	
12/19/2017	18:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.200000	12.460000	8.560000	-106.700000	0.260000	0.780000	0.890000	3.550000	-0.110000	-0.110000	4.813000	96.100000	156.400000	0.070000	158.700000	102.000000	
12/19/2017	18:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.200000	12.470000	8.560000	-106.700000	0.260000	0.780000	1.340000	5.350000	-0.050000	-0.050000	4.811000	96.500000	157.100000	0.070000	159.300000	102.000000	
12/19/2017	19:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.460000	8.560000	-106.500000	0.250000	0.760000	0.890000	3.570000	-0.120000	-0.120000	4.810000	96.300000	156.800000	0.070000	159.100000	102.000000	
12/19/2017	19:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.000000	12.440000	8.560000	-106.700000	0.250000	0.750000	1.310000	5.230000	-0.040000	-0.040000	4.809000	95.900000	156.000000	0.070000	158.300000	101.000000	
12/19/2017	19:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.000000	12.440000	8.550000	-106.300000	0.270000	0.800000	0.730000	2.930000	-0.090000	-0.090000	4.808000	98.600000	160.500000	0.080000	162.800000	104.000000	
