Date	B1P1	B1P4	B2P2	B2P3	B2P4	B3P0	B3P1	B3P2	B3P3	ERL122	ERL152	ERL85
2021-09-16	120	120	120	120	120	120	120	120	120	120	120	120
2021-09-17	720	720	720	720	720	720	720	720	720	720	720	720
2021-09-18	720	720	720	720	720	720	720	720	720	635	720	720
2021-09-19	720	720	720	720	720	720	720	720	720	720	720	720
2021-09-20	720	720	720	720	720	720	720	720	720	720	720	720
2021-09-21	415	720	720	720	720	720	720	720	720	720	720	720
2021-09-22	0	720	720	720	720	720	720	720	720	720	720	720
2021-09-23	253	720	720	720	720	720	720	720	720	720	720	720
2021-09-24	0	90	90	89	90	89	89	90	90	89	89	90
